Date,Meteo,Temperature,Collection,Line,Color,Eyewear,Gender,Age,Quantity,Salesman
2/13/2016,No Data,No Data,A,ModelA7,Black,Optical,M,15-30,1,Boss
2/13/2016,No Data,No Data,A,ModelA3,Gray,Optical,M,30-45,1,Boss
2/13/2016,No Data,No Data,A,ModelA8,Shiny,Optical,M,30-45,1,Boss
2/13/2016,No Data,No Data,A,ModelA6,Silver,Optical,M,30-45,1,Boss
2/13/2016,No Data,No Data,A,ModelA2,Red,Optical,F,45-60,1,Boss
2/13/2016,No Data,No Data,A,ModelA6,Transparent,Solar,F,45-60,1,Boss
2/13/2016,No Data,No Data,A,ModelA8,Black,Solar,M,15-30,1,Boss
2/13/2016,No Data,No Data,A,ModelA13,Yellow,Solar,F,45-60,1,Boss
2/14/2016,No Data,No Data,A,ModelA14,Blue,Optical,F,15-30,1,Boss
2/14/2016,No Data,No Data,A,ModelA10,Purple,Solar,F,45-60,1,Boss
2/14/2016,No Data,No Data,A,ModelA3,Silver,Optical,M,15-30,1,Boss
2/15/2016,No Data,No Data,A,ModelA2,Black,Optical,F,15-30,1,Boss
2/15/2016,No Data,No Data,A,ModelA6,Gray,Optical,M,15-30,1,Boss
2/16/2016,No Data,No Data,A,ModelA10,Blue,Solar,F,30-45,1,Boss
2/16/2016,No Data,No Data,A,ModelA14,Blue,Optical,F,15-30,1,Boss
2/16/2016,No Data,No Data,A,ModelA8,Black,Optical,F,15-30,1,Boss
2/16/2016,No Data,No Data,A,ModelA2,Red,Optical,M,45-60,1,Boss
2/16/2016,No Data,No Data,A,ModelA12,Shiny,Optical,F,15-30,1,Boss
2/17/2016,No Data,No Data,A,ModelA2,Black,Optical,M,45-60,1,Boss
2/18/2016,No Data,No Data,A,ModelA6,Transparent,Optical,M,45-60,1,Boss
2/18/2016,No Data,No Data,A,ModelA15,Pink,Optical,M,15-30,1,Boss
2/19/2016,No Data,No Data,A,ModelA3,Gray,Solar,M,15-30,1,Boss
2/19/2016,No Data,No Data,A,ModelA6,Silver,Optical,M,15-30,1,Boss
2/19/2016,No Data,No Data,A,ModelA6,Transparent,Optical,F,45-60,1,Boss
2/19/2016,No Data,No Data,A,ModelA12,Black,Optical,F,45-60,1,Boss
2/19/2016,No Data,No Data,A,ModelA3,Silver,Solar,F,30-45,1,Boss
2/20/2016,No Data,No Data,A,ModelA9,Silver,Solar,M,15-30,1,Boss
2/20/2016,No Data,No Data,A,ModelA4,Black,Solar,M,15-30,1,Boss
2/20/2016,No Data,No Data,A,ModelA8,Shiny,Optical,M,15-30,1,Boss
2/20/2016,No Data,No Data,A,ModelA3,Green,Solar,F,30-45,1,Boss
2/20/2016,No Data,No Data,A,ModelA6,Transparent,Solar,F,15-30,1,Boss
2/20/2016,No Data,No Data,A,ModelA9,Brown,Optical,M,15-30,1,Boss
2/20/2016,No Data,No Data,A,ModelA16,Black,Solar,M,15-30,1,Boss
2/21/2016,No Data,No Data,A,ModelA3,Black,Solar,M,30-45,1,Boss
2/21/2016,No Data,No Data,A,ModelA17,Silver,Optical,F,15-30,1,Boss
2/21/2016,No Data,No Data,A,ModelA10,Blue,Solar,F,45-60,1,Boss
2/21/2016,No Data,No Data,A,ModelA17,Gray,Solar,M,15-30,1,Boss
2/21/2016,No Data,No Data,A,ModelA11,Silver,Optical,M,45-60,1,Boss
2/21/2016,No Data,No Data,A,ModelA18,Brown,Solar,F,30-45,1,Boss
2/21/2016,No Data,No Data,A,ModelA6,Gray,Solar,M,30-45,1,Boss
2/21/2016,No Data,No Data,A,ModelA4,Transparent,Solar,M,45-60,1,Boss
2/21/2016,No Data,No Data,A,ModelA12,Brown,Solar,F,15-30,1,Boss
2/21/2016,No Data,No Data,A,ModelA19,Blue,Optical,F,45-60,1,Boss
2/21/2016,No Data,No Data,A,ModelA6,Transparent,Optical,F,30-45,1,Boss
2/22/2016,No Data,No Data,A,ModelA16,Shiny,Optical,M,60 +,1,Boss
2/22/2016,No Data,No Data,A,ModelA10,Yellow,Solar,F,15-30,1,Boss
2/22/2016,No Data,No Data,A,ModelA8,Black,Solar,M,30-45,1,Boss
2/22/2016,No Data,No Data,A,ModelA1,Brown,Solar,F,30-45,1,Boss
2/23/2016,No Data,No Data,A,ModelA20,Gray,Solar,F,60 +,1,Boss
2/23/2016,No Data,No Data,A,ModelA8,Black,Solar,F,45-60,1,Boss
2/23/2016,No Data,No Data,A,ModelA21,Blue,Optical,F,45-60,1,Boss
2/23/2016,No Data,No Data,A,ModelA1,Pink,Solar,F,15-30,1,Boss
2/23/2016,No Data,No Data,A,ModelA8,Shiny,Optical,F,15-30,1,Boss
2/23/2016,No Data,No Data,A,ModelA7,Brown,Solar,M,30-45,1,Boss
2/24/2016,No Data,No Data,A,ModelA16,Shiny,Optical,M,45-60,1,Boss
2/24/2016,No Data,No Data,A,ModelA6,Red,Optical,M,15-30,1,Boss
2/25/2016,No Data,No Data,A,ModelA6,Gray,Optical,M,45-60,1,Boss
2/25/2016,No Data,No Data,A,ModelA14,Blue,Solar,M,45-60,1,Boss
2/25/2016,No Data,No Data,A,ModelA14,Green,Optical,M,45-60,1,Boss
2/25/2016,No Data,No Data,A,ModelA3,Silver,Optical,M,15-30,1,Boss
2/26/2016,No Data,No Data,A,ModelA14,Green,Optical,F,30-45,1,Boss
2/26/2016,No Data,No Data,A,ModelA3,Green,Solar,F,60 +,1,Boss
2/26/2016,No Data,No Data,A,ModelA22,Blue,Solar,F,30-45,1,Boss
2/26/2016,No Data,No Data,A,ModelA2,Brown,Solar,F,45-60,1,Boss
2/26/2016,No Data,No Data,A,ModelA16,Black,Solar,F,45-60,1,Boss
2/27/2016,No Data,No Data,A,ModelA9,Silver,Optical,M,15-30,1,Boss
2/27/2016,No Data,No Data,A,ModelA13,Yellow,Optical,F,15-30,1,Boss
2/27/2016,No Data,No Data,A,ModelA6,Red,Optical,M,15-30,1,Boss
2/27/2016,No Data,No Data,A,ModelA4,Transparent,Solar,M,45-60,1,Boss
2/27/2016,No Data,No Data,A,ModelA16,Shiny,Solar,M,45-60,1,Boss
2/27/2016,No Data,No Data,A,ModelA6,Gray,Solar,M,30-45,1,Boss
2/27/2016,No Data,No Data,A,ModelA11,Gray,Solar,M,30-45,1,Boss
2/27/2016,No Data,No Data,A,ModelA3,Silver,Optical,F,45-60,1,Boss
2/28/2016,No Data,No Data,A,ModelA14,Blue,Optical,M,45-60,1,Boss
2/28/2016,No Data,No Data,A,ModelA13,Yellow,Solar,F,15-30,1,Boss
2/28/2016,No Data,No Data,A,ModelA3,Silver,Solar,F,15-30,1,Boss
2/28/2016,No Data,No Data,A,ModelA8,Black,Solar,F,15-30,1,Boss
2/28/2016,No Data,No Data,A,ModelA1,Black,Solar,F,15-30,1,Boss
2/28/2016,No Data,No Data,A,ModelA19,Blue,Solar,F,15-30,1,Boss
3/1/2016,Rainy,Very Cold,A,ModelA17,Silver,Optical,M,45-60,1,Boss
3/1/2016,Rainy,Very Cold,A,ModelA16,Shiny,Optical,M,15-30,1,Boss
3/1/2016,Rainy,Very Cold,A,ModelA2,Red,Optical,F,15-30,1,Boss
3/2/2016,Cloudy,Very Cold,A,ModelA23,White,Optical,F,45-60,1,Boss
3/2/2016,Snowy,Very Cold,A,ModelA4,Transparent,Optical,M,30-45,1,Boss
3/2/2016,Snowy,Very Cold,A,ModelA13,Yellow,Optical,F,30-45,1,Boss
3/2/2016,Sunny,Chill,A,ModelA2,Brown,Solar,M,30-45,1,Boss
3/3/2016,Partly Cloudy,Cold,A,ModelA8,Black,Optical,M,30-45,1,Boss
3/3/2016,Partly Cloudy,Cold,A,ModelA8,Black,Optical,F,15-30,1,Boss
3/3/2016,Partly Cloudy,Cold,A,ModelA12,Black,Optical,F,30-45,1,Boss
3/3/2016,Partly Cloudy,Cold,A,ModelA7,Gray,Solar,M,30-45,1,Boss
3/4/2016,Cloudy + Rainy,Cold,A,ModelA2,Brown,Optical,F,15-30,1,Boss
3/4/2016,Cloudy + Rainy,Cold,A,ModelA3,Black,Solar,M,15-30,1,Boss
3/4/2016,Cloudy + Rainy,Cold,A,ModelA8,Black,Solar,M,15-30,1,Boss
3/4/2016,Cloudy + Rainy,Cold,A,ModelA1,Brown,Solar,F,30-45,1,Boss
3/4/2016,Cloudy + Rainy,Cold,A,ModelA16,Black,Solar,M,30-45,1,Boss
3/4/2016,Cloudy + Rainy,Cold,A,ModelA1,Pink,Solar,F,45-60,1,Boss
3/4/2016,Cloudy + Rainy,Cold,A,ModelA22,Blue,Solar,F,30-45,1,Boss
3/4/2016,Cloudy + Rainy,Cold,A,ModelA24,Black,Solar,F,45-60,1,Boss
3/4/2016,Cloudy + Rainy,Cold,A,ModelA17,Gray,Optical,M,45-60,1,Boss
3/5/2016,Cloudy,Cold,A,ModelA6,Transparent,Frame,M,45-60,1,Boss
3/5/2016,Clear,Cold,A,ModelA6,Transparent,Solar,F,15-30,1,Boss
3/5/2016,Sunny,Cold,A,ModelA16,Black,Solar,M,45-60,1,Boss
3/5/2016,Sunny,Cold,A,ModelA3,Silver,Frame,F,30-45,1,Boss
3/5/2016,Sunny,Cold,A,ModelA21,Blue,Solar,M,30-45,1,Boss
3/5/2016,Sunny,Cold,A,ModelA3,Black,Solar,M,15-30,1,Boss
3/5/2016,Sunny,Cold,A,ModelA25,Gray,Optical,M,45-60,1,Boss
3/5/2016,Sunny,Cold,A,ModelA3,Black,Optical,M,15-30,1,Boss
3/5/2016,Sunny,Cold,A,ModelA13,Red,Solar,F,30-45,1,Boss
3/5/2016,Sunny,Cold,A,ModelA24,Brown,Solar,F,15-30,1,Boss
3/6/2016,Sunny,Cold,A,ModelA16,Black,Solar,F,30-45,1,Boss
3/6/2016,Sunny,Cold,A,ModelA16,Shiny,Solar,M,30-45,1,Boss
3/6/2016,Sunny,Cold,A,ModelA16,Black,Solar,M,30-45,1,Boss
3/6/2016,Sunny,Cold,A,ModelA6,Transparent,Solar,M,30-45,1,Boss
3/6/2016,Partly Cloudy,Cold,A,ModelA8,Black,Solar,M,45-60,1,Boss
3/6/2016,Partly Cloudy,Cold,A,ModelA25,Gray,Solar,F,45-60,1,Boss
3/6/2016,Partly Cloudy,Cold,A,ModelA9,Black,Solar,F,45-60,1,Boss
3/6/2016,Sunny,Cold,A,ModelA16,Shiny,Solar,F,15-30,1,Boss
3/6/2016,Sunny,Cold,A,ModelA3,Silver,Solar,F,15-30,1,Boss
3/6/2016,Sunny,Cold,A,ModelA3,Silver,Solar,M,15-30,1,Boss
3/6/2016,Sunny,Cold,A,ModelA6,Transparent,Optical,F,30-45,1,Boss
3/6/2016,Sunny,Cold,A,ModelA7,Gray,Optical,M,30-45,1,Boss
3/6/2016,Sunny,Cold,A,ModelA14,Blue,Optical,F,15-30,1,Boss
3/6/2016,Sunny,Cold,A,ModelA6,Transparent,Optical,F,15-30,1,Boss
3/6/2016,Sunny,Cold,A,ModelA25,Silver,Solar,M,15-30,1,Boss
3/6/2016,Sunny,Cold,A,ModelA3,Silver,Solar,F,30-45,1,Boss
3/6/2016,Sunny,Cold,A,ModelA6,Gray,Solar,M,30-45,1,Boss
3/7/2016,Rainy,Cold,A,ModelA3,Silver,Solar,F,15-30,1,Boss
3/8/2016,Cloudy,Cold,A,ModelA6,Gray,Optical,M,45-60,1,Boss
3/8/2016,Cloudy,Cold,A,ModelA6,Silver,Optical,F,15-30,1,Boss
3/9/2016,Rainy,Cold,A,ModelA19,Blue,Optical,F,15-30,1,Boss
3/9/2016,Rainy,Cold,A,ModelA9,Silver,Optical,F,15-30,1,Boss
3/10/2016,Cloudy,Cold,A,ModelA6,Transparent,Solar,M,15-30,1,Boss
3/10/2016,Cloudy,Cold,A,ModelA8,Shiny,Optical,M,15-30,1,Boss
3/10/2016,Cloudy,Cold,A,ModelA6,Silver,Solar,M,30-45,1,Boss
3/11/2016,Sunny,Cold,A,ModelA2,Red,Optical,M,30-45,1,Boss
3/11/2016,Sunny,Cold,A,ModelA23,White,Optical,M,15-30,1,Boss
3/11/2016,Clear,Cold,A,ModelA21,Blue,Frame,M,45-60,1,Employe1
3/12/2016,Sunny,Chill,A,ModelA7,Black,Optical,M,15-30,1,Boss
3/12/2016,Sunny,Chill,A,ModelA6,Red,Optical,F,15-30,1,Boss
3/12/2016,Sunny,Chill,A,ModelA2,Red,Optical,M,45-60,1,Boss
3/12/2016,Sunny,Chill,A,ModelA10,Yellow,Solar,F,45-60,1,Boss
3/12/2016,Sunny,Chill,A,ModelA6,Gray,Solar,M,45-60,1,Boss
3/12/2016,Sunny,Chill,A,ModelA24,Brown,Optical,F,45-60,1,Boss
3/12/2016,Sunny,Chill,A,ModelA4,Transparent,Solar,F,30-45,1,Employe2
3/12/2016,Sunny,Chill,A,ModelA3,Gray,Solar,F,30-45,1,Boss
3/12/2016,Sunny,Chill,A,ModelA3,Green,Optical,F,15-30,1,Boss
3/12/2016,Sunny,Chill,A,ModelA23,White,Solar,M,45-60,1,Boss
3/12/2016,Clear,Chill,A,ModelA2,Brown,Frame,F,45-60,1,Boss
3/12/2016,Sunny,Chill,A,ModelA6,Gray,Solar,F,45-60,1,Boss
3/12/2016,Sunny,Chill,A,ModelA9,Silver,Optical,F,30-45,1,Boss
3/12/2016,Clear,Chill,A,ModelA25,Gray,Optical,F,15-30,1,Boss
3/12/2016,Clear,Chill,A,ModelA25,Silver,Optical,F,15-30,1,Boss
3/12/2016,Clear,Chill,A,ModelA25,Black,Optical,F,15-30,1,Boss
3/13/2016,Sunny,Cold,A,ModelA2,Brown,Optical,F,45-60,1,Boss
3/13/2016,Sunny,Cold,A,ModelA24,Pink,Solar,F,15-30,1,Boss
3/13/2016,Sunny,Cold,A,ModelA22,Black,Solar,F,15-30,1,Boss
3/13/2016,Sunny,Cold,A,ModelA3,Silver,Frame,F,15-30,1,Employe2
3/13/2016,Sunny,Cold,A,ModelA22,Blue,Solar,F,45-60,1,Employe2
3/13/2016,Sunny,Cold,A,ModelA24,Brown,Solar,F,15-30,1,Boss
3/13/2016,Sunny,Cold,A,ModelA3,Green,Solar,F,45-60,1,Employe2
3/13/2016,Sunny,Cold,A,ModelA18,Gray,Solar,F,30-45,1,Employe2
3/13/2016,Sunny,Cold,A,ModelA2,Brown,Optical,F,15-30,1,Employe2
3/13/2016,Clear,Cold,A,ModelA11,Gray,Solar,M,15-30,1,Boss
3/13/2016,Clear,Cold,A,ModelA26,Red,Solar,F,15-30,1,Boss
3/13/2016,Clear,Cold,A,ModelA8,Black,Solar,M,15-30,1,Boss
3/14/2016,Partly Cloudy,Cold,A,ModelA20,Red,Optical,F,15-30,1,Boss
3/14/2016,Partly Cloudy,Cold,A,ModelA24,Brown,Solar,F,45-60,1,Boss
3/14/2016,Partly Cloudy,Cold,A,ModelA27,Green,Optical,F,30-45,1,Boss
3/15/2016,Sunny,Chill,A,ModelA17,Black,Solar,M,30-45,1,Boss
3/15/2016,Sunny,Chill,A,ModelA6,Gray,Solar,F,30-45,1,Boss
3/15/2016,Clear,Chill,A,ModelA12,Brown,Optical,F,45-60,1,Boss
3/15/2016,Clear,Chill,A,ModelA6,Red,Optical,M,30-45,1,Boss
3/15/2016,Cloudy + Rainy,Very Cold,A,ModelA5,Silver,Optical,F,45-60,1,Boss
3/15/2016,Cloudy + Rainy,Very Cold,A,ModelA8,Black,Optical,F,45-60,1,Boss
3/16/2016,Cloudy,Cold,A,ModelA9,Gray,Frame,M,45-60,1,Boss
3/16/2016,Cloudy,Cold,A,ModelA9,Silver,Solar,M,45-60,1,Boss
3/16/2016,Cloudy,Cold,A,ModelA9,Silver,Optical,F,15-30,1,Boss
3/16/2016,Cloudy,Cold,A,ModelA25,Gray,Solar,M,60 +,1,Boss
3/17/2016,Partly Cloudy,Cold,A,ModelA7,Black,Solar,M,45-60,1,Boss
3/17/2016,Partly Cloudy,Cold,A,ModelA11,Gray,Optical,M,45-60,1,Boss
3/17/2016,Partly Cloudy,Cold,A,ModelA11,Silver,Solar,F,45-60,1,Boss
3/17/2016,Partly Cloudy,Cold,A,ModelA17,Gray,Solar,M,30-45,1,Boss
3/17/2016,Partly Cloudy,Cold,A,ModelA25,Black,Optical,M,15-30,1,Boss
3/17/2016,Partly Cloudy,Cold,A,ModelA8,Black,Solar,M,15-30,1,Boss
3/18/2016,Sunny,Cold,A,ModelA14,Green,Optical,F,60 +,1,Boss
3/18/2016,Sunny,Cold,A,ModelA6,Silver,Solar,M,60 +,1,Boss
3/18/2016,Sunny,Cold,A,ModelA14,Blue,Frame,F,45-60,1,Boss
3/18/2016,Sunny,Cold,A,ModelA24,Brown,Solar,M,15-30,1,Boss
3/19/2016,Cloudy,Cold,A,ModelA6,Red,Optical,M,00-15,1,Boss
3/19/2016,Cloudy,Cold,A,ModelA6,Red,Optical,M,15-30,1,Boss
3/19/2016,Cloudy,Cold,A,ModelA2,Red,Optical,M,30-45,1,Boss
3/19/2016,Cloudy,Cold,A,ModelA8,Black,Solar,F,30-45,1,Boss
3/19/2016,Cloudy,Cold,A,ModelA16,Shiny,Solar,M,30-45,1,Boss
3/19/2016,Cloudy,Cold,A,ModelA6,Transparent,Solar,F,30-45,1,Boss
3/19/2016,Cloudy,Cold,A,ModelA3,Silver,Solar,M,15-30,1,Boss
3/19/2016,Cloudy,Cold,A,ModelA24,Brown,Solar,F,15-30,1,Boss
3/19/2016,Cloudy,Cold,A,ModelA6,Silver,Solar,M,45-60,1,Boss
3/19/2016,Cloudy,Cold,A,ModelA8,Black,Optical,M,45-60,1,Boss
3/20/2016,Cloudy,Cold,A,ModelA6,Transparent,Solar,F,15-30,1,Boss
3/20/2016,Cloudy,Cold,A,ModelA6,Silver,Solar,F,30-45,1,Boss
3/20/2016,Cloudy,Cold,A,ModelA9,Black,Solar,M,30-45,1,Boss
3/20/2016,Cloudy,Cold,A,ModelA3,Gray,Solar,M,15-30,1,Boss
3/20/2016,Cloudy,Cold,A,ModelA1,Pink,Solar,F,45-60,1,Boss
3/20/2016,Cloudy,Cold,A,ModelA16,Shiny,Solar,M,45-60,1,Boss
3/20/2016,Cloudy,Cold,A,ModelA13,Yellow,Optical,F,15-30,1,Boss
3/20/2016,Cloudy,Cold,A,ModelA23,White,Frame,M,30-45,1,Boss
3/20/2016,Cloudy,Cold,A,ModelA7,Red,Solar,M,30-45,1,Boss
3/21/2016,Cloudy,Cold,A,ModelA6,Transparent,Solar,M,30-45,1,Boss
3/21/2016,Cloudy,Cold,A,ModelA13,Yellow,Optical,F,15-30,1,Boss
3/21/2016,Cloudy,Cold,A,ModelA25,Gray,Optical,M,15-30,1,Boss
3/22/2016,Sunny,Cold,A,ModelA20,Gray,Solar,F,45-60,1,Boss
3/22/2016,Sunny,Cold,A,ModelA26,Gray,Solar,M,15-30,1,Boss
3/23/2016,Cloudy,Cold,A,ModelA6,Silver,Solar_Opt,M,15-30,1,Boss
3/23/2016,Cloudy,Cold,A,ModelA4,Silver,Optical,F,45-60,1,Boss
3/23/2016,Cloudy,Cold,A,ModelA9,Silver,Optical,F,15-30,1,Boss
3/23/2016,Cloudy,Cold,A,ModelA24,Brown,Optical,M,45-60,1,Boss
3/23/2016,Cloudy,Cold,A,ModelA2,Brown,Frame,F,45-60,1,Boss
3/23/2016,Cloudy,Cold,A,ModelA24,Brown,Optical,F,15-30,1,Boss
3/24/2016,Cloudy,Cold,A,ModelA7,Red,Solar,M,45-60,1,Boss
3/24/2016,Cloudy,Cold,A,ModelA3,Silver,Optical,M,30-45,1,Boss
3/24/2016,Cloudy,Cold,A,ModelA3,Silver,Optical,F,15-30,1,Boss
3/24/2016,Cloudy,Cold,A,ModelA6,Transparent,Solar,M,30-45,1,Boss
3/24/2016,Cloudy,Cold,A,ModelA4,Gray,Solar,M,30-45,1,Boss
3/25/2016,Cloudy,Chill,A,ModelA6,Transparent,Solar,M,15-30,1,Boss
3/25/2016,Cloudy,Chill,A,ModelA9,Brown,Optical,F,60 +,1,Boss
3/25/2016,Cloudy,Chill,A,ModelA9,Brown,Solar,M,30-45,1,Boss
3/25/2016,Cloudy,Chill,A,ModelA6,Transparent,Optical,F,15-30,1,Boss
3/25/2016,Cloudy,Chill,A,ModelA7,Gray,Optical,M,45-60,1,Boss
3/25/2016,Cloudy,Chill,A,ModelA6,Silver,Optical,M,45-60,1,Boss
3/25/2016,Cloudy,Chill,A,ModelA25,Silver,Solar,M,45-60,1,Boss
3/25/2016,Cloudy,Chill,A,ModelA11,Gray,Solar,M,30-45,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA26,Red,Solar,M,30-45,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA25,Silver,Solar,F,15-30,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA3,Silver,Optical,M,15-30,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA3,Green,Frame,M,45-60,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA10,Black,Solar,F,30-45,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA3,Gray,Solar,M,15-30,1,Employe1
3/26/2016,Cloudy,Chill,A,ModelA10,Yellow,Solar,F,30-45,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA7,Gray,Solar,F,15-30,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA3,Black,Solar,F,15-30,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA23,Orange,Optical,F,30-45,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA20,Red,Optical,F,30-45,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA13,Red,Solar,F,30-45,1,Employe1
3/26/2016,Cloudy,Chill,A,ModelA3,Gray,Optical,M,15-30,1,Employe1
3/26/2016,Cloudy,Chill,A,ModelA16,Black,Solar,F,15-30,1,Employe1
3/26/2016,Cloudy,Chill,A,ModelA6,Red,Solar,F,30-45,1,Employe1
3/26/2016,Cloudy,Chill,A,ModelA6,Transparent,Solar,F,00-15,1,Boss
3/26/2016,Cloudy,Chill,A,ModelA9,Gray,Solar,M,15-30,1,Boss
3/27/2016,Sunny,Chill,A,ModelA14,Blue,Optical,M,45-60,1,Boss
3/27/2016,Sunny,Chill,A,ModelA6,Silver,Solar,M,45-60,1,Boss
3/27/2016,Sunny,Chill,A,ModelA4,Gray,Solar,M,30-45,1,Boss
3/27/2016,Sunny,Chill,A,ModelA6,Transparent,Solar,M,30-45,1,Boss
3/27/2016,Sunny,Chill,A,ModelA3,Silver,Solar,F,45-60,1,Boss
3/27/2016,Sunny,Chill,A,ModelA6,Silver,Solar,F,30-45,1,Boss
3/27/2016,Sunny,Chill,A,ModelA9,Brown,Solar,M,30-45,1,Boss
3/27/2016,Sunny,Chill,A,ModelA6,Silver,Solar,F,30-45,1,Boss
3/27/2016,Sunny,Chill,A,ModelA17,Silver,Solar,F,45-60,1,Employe1
3/27/2016,Sunny,Chill,A,ModelA6,Transparent,Solar,M,30-45,1,Boss
3/27/2016,Rainy,Chill,A,ModelA6,Transparent,Solar_Opt,F,15-30,1,Boss
3/27/2016,Rainy,Chill,A,ModelA8,Black,Optical,M,45-60,1,Boss
3/27/2016,Rainy,Chill,A,ModelA6,Silver,Solar,M,30-45,1,Employe1
3/27/2016,Cloudy + Rainy,Chill,A,ModelA3,Green,Frame,F,15-30,1,Boss
3/27/2016,Cloudy + Rainy,Chill,A,ModelA3,Gray,Solar,M,15-30,1,Boss
3/27/2016,Cloudy + Rainy,Chill,A,ModelA8,Black,Solar,M,45-60,1,Boss
3/28/2016,Rainy,Chill,A,ModelA26,Red,Solar,M,30-45,1,Boss
3/28/2016,Partly Cloudy,Chill,A,ModelA3,Gray,Solar,F,15-30,1,Boss
3/28/2016,Sunny,Chill,A,ModelA1,Blue,Solar,F,45-60,1,Boss
3/28/2016,Snowy,Chill,A,ModelA10,Yellow,Solar,F,45-60,1,Boss
3/28/2016,Partly Cloudy,Chill,A,ModelA25,Silver,Solar,M,15-30,1,Boss
3/28/2016,Sunny,Chill,A,ModelA14,Green,Optical,F,15-30,1,Boss
3/28/2016,Clear,Chill,A,ModelA8,Black,Solar,F,15-30,1,Boss
3/28/2016,Cloudy + Rainy,Chill,A,ModelA5,Black,Optical,M,45-60,1,Boss
3/28/2016,Cloudy + Rainy,Chill,A,ModelA24,Black,Solar,F,30-45,1,Boss
3/29/2016,Partly Cloudy,Cold,A,ModelA3,Silver,Solar,F,15-30,1,Boss
3/29/2016,Rainy,Cold,A,ModelA6,Transparent,Solar_Opt,M,45-60,1,Boss
3/29/2016,Cloudy + Rainy,Cold,A,ModelA9,Black,Solar,M,15-30,1,Boss
